isssue_url,fixe_url,num_commits,num_changed_files,LOC,entropy,issue_comments,issue_collab,fix_comment,fix_collab,time_to_fix
https://api.github.com/repos/scverse/scvi-tools/issues/1087,https://api.github.com/repos/scverse/scvi-tools/pulls/1253,3,3,10,-1.5219280948873621,3,2,2,2,14306632.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/7400,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/7402,1,1,4,0.0,4,2,5,0,5631.0
https://api.github.com/repos/speechbrain/speechbrain/issues/248,https://api.github.com/repos/speechbrain/speechbrain/pulls/243,22,189,23662,-5.196706598462313,2,2,31,3,435442.0
https://api.github.com/repos/RasaHQ/rasa/issues/10122,https://api.github.com/repos/RasaHQ/rasa/pulls/10273,15,30,516,-4.109918157092147,1,1,0,1,846570.0
https://api.github.com/repos/ellisdg/3DUnetCNN/issues/298,https://api.github.com/repos/ellisdg/3DUnetCNN/pulls/300,10,17,92,-3.5165920140802833,3,2,2,0,4179434.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/286,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/345,8,8,54,-2.4718079239740476,0,0,0,0,595771.0
https://api.github.com/repos/scverse/scvi-tools/issues/1112,https://api.github.com/repos/scverse/scvi-tools/pulls/1103,12,48,1710,-2.7401473707842645,4,2,1,0,177114.0
https://api.github.com/repos/mozilla/DeepSpeech/issues/3089,https://api.github.com/repos/mozilla/DeepSpeech/pulls/3090,1,1,6,0.0,2,2,0,0,48722.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/4151,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/4441,23,81,801,-5.196262155433011,3,2,8,5,1638200.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/5159,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/5191,59,110,4597,-5.60160290461159,8,5,4,4,597318.0
https://api.github.com/repos/DeepLabCut/DeepLabCut/issues/552,https://api.github.com/repos/DeepLabCut/DeepLabCut/pulls/555,1,1,36,0.0,1,1,0,0,101914.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/9267,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/9267,1,2,13,-0.7793498372920852,2,2,2,4,70442.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/11114,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/11114,3,6,12,-2.5220552088742005,1,1,1,2,45507.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/8030,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/8030,1,1,2,0.0,2,2,2,0,332233.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/5856,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/5856,2,4,27,-1.5759136532083846,0,0,0,0,42872.0
https://api.github.com/repos/idaholab/raven/issues/1493,https://api.github.com/repos/idaholab/raven/pulls/1494,12,921,1521281,-5.342393666916428,0,0,9,4,16897969.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/5157,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/5157,2,3,5,-1.3709505944546687,2,2,2,0,41396.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/708,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/890,1,1,4,0.0,4,2,0,0,2760022.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/1710,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/2029,114,35,142,-4.295863410391206,1,1,3,5,2551685.0
https://api.github.com/repos/cms-sw/cmssw/issues/23001,https://api.github.com/repos/cms-sw/cmssw/pulls/23001,1,1,2,0.0,13,4,13,0,438226.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/8227,https://api.github.com/repos/mlflow/mlflow-torchserve/pulls/67,9,19,1568,-1.5623277719719886,18,6,4,3,519692.0
https://api.github.com/repos/idaholab/raven/issues/717,https://api.github.com/repos/idaholab/raven/pulls/718,4,35,881,-4.871613546958672,1,1,6,3,919265.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/72,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/74,3,3,39,-0.8557897188067749,4,2,1,0,6512.0
https://api.github.com/repos/RasaHQ/rasa/issues/319,https://api.github.com/repos/RasaHQ/rasa/pulls/336,7,84,1484,-5.264527422095156,1,1,8,0,509154.0
https://api.github.com/repos/cms-sw/cmssw/issues/25979,https://api.github.com/repos/cms-sw/cmssw/pulls/25979,1,1,5,0.0,15,5,15,0,529970.0
https://api.github.com/repos/deepset-ai/haystack/issues/2113,https://api.github.com/repos/deepset-ai/haystack/pulls/2230,5,5,37,-2.232566437165654,1,1,0,0,1741142.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/5865,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/6004,7,116,4311,-5.596637204236747,44,15,5,4,3700749.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/2388,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/2388,10,11,36,-3.105524715011738,0,0,0,0,4336.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/865,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/865,3,3,47,-1.2082534070890902,1,1,1,3,181747.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/3660,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/4309,27,58,824,-4.396112542596017,10,8,12,8,5850070.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/7543,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/7543,40,194,5522,-6.079798712953349,4,3,4,1,9292332.0
https://api.github.com/repos/cms-sw/cmssw/issues/30168,https://api.github.com/repos/cms-sw/cmssw/pulls/30168,7,49,447,-5.051537400771536,21,5,21,0,1797926.0
https://api.github.com/repos/speechbrain/speechbrain/issues/88,https://api.github.com/repos/speechbrain/speechbrain/pulls/96,6,33,845,-4.305034165938471,2,2,1,0,184171.0
