isssue_url,fixe_url,num_commits,num_changed_files,LOC,entropy,issue_comments,issue_collab,fix_comment,fix_collab,time_to_fix
https://api.github.com/repos/scverse/scvi-tools/issues/911,https://api.github.com/repos/scverse/scvi-tools/pulls/920,2,3,31,-0.9655272622660829,0,0,1,0,315431.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/5840,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/5840,3,3,9,-1.5304930567574826,2,2,2,0,33805.0
https://api.github.com/repos/microsoft/AirSim/issues/4372,https://api.github.com/repos/microsoft/AirSim/pulls/4372,5,16,258,-3.110026113276486,2,2,2,2,1037270.0
https://api.github.com/repos/murthylab/sleap/issues/644,https://api.github.com/repos/murthylab/sleap/pulls/643,4,5,21,-2.171879780726823,1,1,1,0,14672.0
https://api.github.com/repos/cms-sw/cmssw/issues/33590,https://api.github.com/repos/cms-sw/cmssw/pulls/33590,1,2,12,-0.8112781244591328,8,3,8,0,87973.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/7193,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/7194,1,2,7,-0.863120568566631,0,0,3,2,247473.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/4586,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/4586,4,4,25,-0.996118213778296,1,1,1,0,30820.0
https://api.github.com/repos/RasaHQ/rasa/issues/6867,https://api.github.com/repos/RasaHQ/rasa/pulls/6890,9,32,639,-3.6115253280160715,0,0,0,2,382428.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/10732,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/10732,11,61,705,-4.374610445547623,1,1,1,0,515790.0
https://api.github.com/repos/cms-sw/cmssw/issues/23660,https://api.github.com/repos/cms-sw/cmssw/pulls/23660,1,2,9,-0.5032583347756457,12,4,12,0,257794.0
https://api.github.com/repos/snorkel-team/snorkel/issues/101,https://api.github.com/repos/snorkel-team/snorkel/pulls/101,1,2,32,-0.7578784625383955,0,0,0,0,1590.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/9899,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/9899,1,1,2,0.0,0,0,0,0,2516.0
https://api.github.com/repos/broadinstitute/gatk/issues/6882,https://api.github.com/repos/broadinstitute/gatk/pulls/6943,3,4,60,-1.1178076804841413,1,1,1,2,3875410.0
https://api.github.com/repos/broadinstitute/gatk/issues/1044,https://api.github.com/repos/broadinstitute/gatk/pulls/1044,1,12,273,-3.1220814725559407,3,2,3,1,1031906.0
https://api.github.com/repos/broadinstitute/gatk/issues/3360,https://api.github.com/repos/HadoopGenomics/Hadoop-BAM/pulls/155,3,11,354,-3.0262391281868064,15,6,6,3,5413078.0
https://api.github.com/repos/broadinstitute/gatk/issues/7289,https://api.github.com/repos/broadinstitute/gatk/pulls/7295,8,16,163,-2.521189977039045,2,2,5,2,257866.0
https://api.github.com/repos/cms-sw/cmssw/issues/35757,https://api.github.com/repos/cms-sw/cmssw/pulls/35757,1,3,45,-1.4226096573736307,12,5,12,0,134165.0
https://api.github.com/repos/mozilla/bugbug/issues/831,https://api.github.com/repos/mozilla/bugbug/pulls/936,14,30,184,-4.355207822599888,4,3,8,0,3329557.0
https://api.github.com/repos/cms-sw/cmssw/issues/24333,https://api.github.com/repos/cms-sw/cmssw/pulls/24333,2,302,55385,-1.8817088708204337,25,4,25,0,445641.0
https://api.github.com/repos/broadinstitute/gatk/issues/1202,https://api.github.com/repos/broadinstitute/gatk/pulls/1298,1,1,16,0.0,1,1,2,0,769149.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/3593,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/3596,9,15,44,-3.497982470369158,6,3,1,2,950551.0
https://api.github.com/repos/RasaHQ/rasa/issues/3751,https://api.github.com/repos/RasaHQ/rasa/pulls/3830,7,34,335,-4.118517830808248,5,5,2,2,1213505.0
https://api.github.com/repos/cms-sw/cmssw/issues/34578,https://api.github.com/repos/cms-sw/cmssw/pulls/34578,2,2,7,-0.9852281360342516,7,3,7,0,21648.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/3005,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/3007,9,24,308,-3.5732031777823487,2,2,17,3,199423.0
https://api.github.com/repos/deepset-ai/haystack/issues/2280,https://api.github.com/repos/deepset-ai/haystack/pulls/2281,7,78,919,-5.627089172299482,2,1,1,0,41981.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/2286,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/2510,2,3,42,-0.3238144752669867,4,2,1,0,1345152.0
https://api.github.com/repos/broadinstitute/gatk/issues/2358,https://api.github.com/repos/broadinstitute/gatk/pulls/2401,5,12,572,-2.893915486201112,0,0,12,2,3988216.0
https://api.github.com/repos/PyTorchLightning/pytorch-lightning/issues/1487,https://api.github.com/repos/PyTorchLightning/pytorch-lightning/pulls/1484,40,48,1682,-3.803276101083872,7,6,14,2,64556.0
https://api.github.com/repos/microsoft/AirSim/issues/3875,https://api.github.com/repos/microsoft/AirSim/pulls/3876,2,4,21,-1.7763318528003076,0,0,4,0,2373878.0
https://api.github.com/repos/deepset-ai/haystack/issues/507,https://api.github.com/repos/deepset-ai/haystack/pulls/509,1,6,20,-2.5527241956246547,1,1,1,0,262009.0
